[22/05/2013 21:05:26] /goto GOD Giorox
[22/05/2013 21:07:00] /goto Loudaum
[22/05/2013 21:07:35] /ghost
[22/05/2013 21:17:16] /ghost
[22/05/2013 21:17:19] /ghost
[23/05/2013 00:24:24] /town Thais
[23/05/2013 00:24:56] /i sickle
[23/05/2013 00:25:36] /goto Mah Walker
[23/05/2013 00:26:11] /town Svargrond
[23/05/2013 00:26:47] /a 5
[23/05/2013 00:27:42] /a 8
[23/05/2013 00:27:52] /a 8
[23/05/2013 00:27:58] /a 8
[23/05/2013 00:28:05] /a 8
[23/05/2013 00:28:12] /a 8
[23/05/2013 00:28:35] /a 5
[23/05/2013 00:29:32] /a 5
[23/05/2013 00:29:54] /a 5
[23/05/2013 00:30:04] /a 3
[23/05/2013 00:30:08] /a 3
[23/05/2013 00:30:33] /a 3
[23/05/2013 00:31:22] /town Thais
[23/05/2013 00:33:41] /town yalahar
[23/05/2013 00:35:52] /town Fenrock
[23/05/2013 00:36:04] /goto Fenrock
[23/05/2013 00:36:33] /i gold
[23/05/2013 00:36:39] /a gold
[23/05/2013 00:36:48] /i gold
[23/05/2013 00:37:10] /i platinum
[23/05/2013 00:41:34] /goto Dlair Fenrock
[23/05/2013 00:41:52] /goto Medusa Hell
[23/05/2013 00:43:40] /addskill GOD Mendigo,Level 
[23/05/2013 00:43:52] /addskill GOD Mendigo Level
[23/05/2013 00:44:04] /addskill GOD Mendigo 100
[23/05/2013 00:44:29] /addskill GOD Mendigo Level 100
[23/05/2013 00:44:56] /addskill GOD Mendigo Level 100/
[23/05/2013 00:45:06] /i Gold Coin
[23/05/2013 00:46:15] /i Pick
[23/05/2013 00:47:11] /a 2
[23/05/2013 00:48:10] /addskill nick,experience 100
[23/05/2013 00:48:27] /addskill GOD Mendigo,experience 100
[23/05/2013 00:48:35] /addskill GOD Mendigo,experience 1000000000
[23/05/2013 00:48:43] /addskill GOD Mendigo,experience 1000
[23/05/2013 00:48:44] /addskill GOD Mendigo,experience 1000
[23/05/2013 00:48:50] /addskill GOD Mendigo,experience 100000
[23/05/2013 00:48:56] /addskill GOD Mendigo,experience 100000
[23/05/2013 00:49:00] /addskill GOD Mendigo,experience 100000
[23/05/2013 00:49:03] /addskill GOD Mendigo,experience 100000
[23/05/2013 00:49:07] /addskill GOD Mendigo,experience 1000000
[23/05/2013 00:49:15] /addskill GOD Mendigo,level 100
[23/05/2013 00:49:27] /addskill GOD Mendigo,experience 1000000
[23/05/2013 00:49:29] /addskill GOD Mendigo,experience 1000000
[23/05/2013 00:49:29] /addskill GOD Mendigo,experience 1000000
